ts,priceDiff,margin,sell_exchange_name,buy_exchange_name,sell_pair,buy_pair,sell_price,buy_price,sell_amount,buy_amount,sell_margin,buy_margin,suggested_buy_amount,suggested_sell_amount,gross_margin,trade_decision
2020-02-19 03:27:39.660646,0.0007087299999999908,0.002407115249681159,binance,bittrex,XRP-USDT,XRP-USDT,0.29514,0.29443127,2265.0,1366.7319730000002,-698.2398730000001,-2376.938925169192,668.4921,2265.0,1.6091375282013587,False
2020-02-19 03:27:47.853792,0.0008186199999999921,0.0027803422311847062,binance,bittrex,XRP-USDT,XRP-USDT,0.29525,0.29443138,2265.0,1366.7319730000002,-697.9907230000001,-2376.937190933929,668.74125,2265.0,1.8593295391102629,False
2020-02-19 03:27:55.843584,0.0007082500000000214,0.0024054810664951094,binance,bittrex,XRP-USDT,XRP-USDT,0.29514,0.29443175,2265.0,1366.7319730000002,-698.2398730000001,-2376.9313576066443,668.4921,2265.0,1.6080450896515686,False
2020-02-19 03:28:03.621592,0.0007080999999999893,0.002404970385342041,binance,bittrex,XRP-USDT,XRP-USDT,0.29514,0.2944319,2265.0,1366.7319730000002,-698.2398730000001,-2376.928992748408,668.4921,2265.0,1.607703703335119,False
2020-02-19 03:28:11.414147,0.0006677999999999962,0.0022680943184882505,binance,bittrex,XRP-USDT,XRP-USDT,0.2951,0.2944322,2265.0,1366.7319730000002,-698.3304730000002,-2376.9242630391655,668.4014999999999,2265.0,1.5159976446190058,False
2020-02-19 03:28:19.190856,0.0006477200000000183,0.002199894658289568,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.29443228,2265.0,1366.7319730000002,-698.3757730000001,-2376.923001784995,668.3562000000001,2265.0,1.4703132342147,False
2020-02-19 03:28:27.389059,0.0006674299999999689,0.002266834813825009,binance,bittrex,XRP-USDT,XRP-USDT,0.2951,0.29443257,2265.0,1366.7319730000002,-698.3304730000002,-2376.9184297443726,668.4014999999999,2265.0,1.5151557898128658,False
2020-02-19 03:28:35.371243,0.0008372999999999853,0.0028437738063740382,binance,bittrex,XRP-USDT,XRP-USDT,0.29527,0.2944327,2265.0,1366.7319730000002,-697.9454230000002,-2376.9163802118455,668.7865499999999,2265.0,1.901877672945261,False
2020-02-19 03:28:43.460099,0.0006470000000000087,0.002197443900649753,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.294433,2265.0,1366.7319730000002,-698.3757730000001,-2376.9116505283037,668.3562000000001,2265.0,1.4686752551514246,False
2020-02-19 03:28:51.346608,0.0008268900000000245,0.002808413768410844,binance,bittrex,XRP-USDT,XRP-USDT,0.29526,0.29443311,2265.0,1366.7319730000002,-697.9680730000001,-2376.9099163134206,668.7639,2265.0,1.8781657445761084,False
2020-02-19 03:28:59.330974,0.000706550000000028,0.002399693377230162,binance,bittrex,XRP-USDT,XRP-USDT,0.29514,0.29443345,2265.0,1366.7319730000002,-698.2398730000001,-2376.9045560210643,668.4921,2265.0,1.6041760651006598,False
2020-02-19 03:29:07.728922,0.0008264300000000446,0.0028068470589139843,binance,bittrex,XRP-USDT,XRP-USDT,0.29526,0.29443357,2265.0,1366.7319730000002,-697.9680730000001,-2376.9026641561295,668.7639,2265.0,1.8771179858227924,False
2020-02-19 03:29:15.513159,0.0008263099999999968,0.00280643835289364,binance,bittrex,XRP-USDT,XRP-USDT,0.29526,0.29443369,2265.0,1366.7319730000002,-697.9680730000001,-2376.9007722927363,668.7639,2265.0,1.8768446579907732,False
2020-02-19 03:29:23.496965,0.0005960300000000252,0.0020243248426804325,binance,bittrex,XRP-USDT,XRP-USDT,0.29503,0.29443397,2265.0,1366.7319730000002,-698.4890230000001,-2376.896357950817,668.2429500000001,2265.0,1.3527408046310256,False
2020-02-19 03:29:31.280435,0.0006956399999999974,0.002362631861308569,binance,bittrex,XRP-USDT,XRP-USDT,0.29513,0.29443436,2265.0,1366.7319730000002,-698.2625230000001,-2376.8902094171353,668.46945,2265.0,1.5793472208814592,False
2020-02-19 03:29:39.294496,0.0008255699999999977,0.002803918006464114,binance,bittrex,XRP-USDT,XRP-USDT,0.29526,0.29443443,2265.0,1366.7319730000002,-697.9680730000001,-2376.8891058358904,668.7639,2265.0,1.8751591412831203,False
2020-02-19 03:29:47.290790,0.0005951900000000232,0.002021466143897942,binance,bittrex,XRP-USDT,XRP-USDT,0.29503,0.29443481,2265.0,1366.7319730000002,-698.4890230000001,-2376.883114975434,668.2429500000001,2265.0,1.3508304993234788,False
